text,language,source,date_collected
"Hello, how are you doing today?",english,manual_collection,2026-03-15
Good morning! I hope you had a good night.,english,manual_collection,2026-03-15
"Hi there, it's nice to meet you.",english,manual_collection,2026-03-15
"Good evening, how was your day?",english,manual_collection,2026-03-15
"Hey, long time no see! How have you been?",english,manual_collection,2026-03-15
"My name is John, and I'm from Nairobi.",english,manual_collection,2026-03-15
I'm pleased to meet you. Where are you from?,english,manual_collection,2026-03-15
Welcome to our home. Please come in.,english,manual_collection,2026-03-15
I went to the market to buy some vegetables.,english,manual_collection,2026-03-15
"The weather is very nice today, isn't it?",english,manual_collection,2026-03-15
Can you help me carry these bags?,english,manual_collection,2026-03-15
I need to go to the bank before it closes.,english,manual_collection,2026-03-15
What time does the bus usually arrive?,english,manual_collection,2026-03-15
I'm feeling a bit tired after work today.,english,manual_collection,2026-03-15
Let's meet for coffee tomorrow morning.,english,manual_collection,2026-03-15
The food at that restaurant is delicious.,english,manual_collection,2026-03-15
I'll call you when I get home.,english,manual_collection,2026-03-15
Please wait for me at the entrance.,english,manual_collection,2026-03-15
Where is the nearest supermarket?,english,manual_collection,2026-03-15
How much does this cost?,english,manual_collection,2026-03-15
Do you know what time it is?,english,manual_collection,2026-03-15
Can you tell me how to get to town?,english,manual_collection,2026-03-15
What is your favorite type of food?,english,manual_collection,2026-03-15
When is your birthday?,english,manual_collection,2026-03-15
How long have you lived here?,english,manual_collection,2026-03-15
Why did you decide to learn English?,english,manual_collection,2026-03-15
I work at a technology company in the city.,english,manual_collection,2026-03-15
She studies at the University of Nairobi.,english,manual_collection,2026-03-15
They live in a small apartment near the park.,english,manual_collection,2026-03-15
We usually eat dinner together as a family.,english,manual_collection,2026-03-15
He drives to work every morning.,english,manual_collection,2026-03-15
The children play football after school.,english,manual_collection,2026-03-15
I read the news on my phone every morning.,english,manual_collection,2026-03-15
She listens to music while cooking.,english,manual_collection,2026-03-15
I think this movie is very interesting.,english,manual_collection,2026-03-15
I feel happy when I'm with my friends.,english,manual_collection,2026-03-15
That's a great idea! Let's do it.,english,manual_collection,2026-03-15
I'm not sure about that plan.,english,manual_collection,2026-03-15
I completely agree with what you said.,english,manual_collection,2026-03-15
"I'm sorry, I can't make it to the party.",english,manual_collection,2026-03-15
That sounds like a wonderful experience.,english,manual_collection,2026-03-15
I'm looking forward to the weekend.,english,manual_collection,2026-03-15
The house has a beautiful garden with flowers.,english,manual_collection,2026-03-15
My car is blue and quite old but reliable.,english,manual_collection,2026-03-15
She's wearing a nice red dress today.,english,manual_collection,2026-03-15
The weather is cold and rainy this morning.,english,manual_collection,2026-03-15
It's a sunny day with clear blue skies.,english,manual_collection,2026-03-15
The food smells delicious. What are you cooking?,english,manual_collection,2026-03-15
Could you please pass me the salt?,english,manual_collection,2026-03-15
Would you like some tea or coffee?,english,manual_collection,2026-03-15
Can I help you with anything?,english,manual_collection,2026-03-15
Please send me the document by email.,english,manual_collection,2026-03-15
Would you mind opening the window?,english,manual_collection,2026-03-15
"I'd like to order a cup of coffee, please.",english,manual_collection,2026-03-15
The meeting starts at 10 o'clock tomorrow.,english,manual_collection,2026-03-15
We're going to the beach this weekend.,english,manual_collection,2026-03-15
I have a doctor's appointment next week.,english,manual_collection,2026-03-15
She's planning to visit her parents soon.,english,manual_collection,2026-03-15
They're getting married next month.,english,manual_collection,2026-03-15
I'll finish this project by Friday.,english,manual_collection,2026-03-15
I'll send you a message on WhatsApp.,english,manual_collection,2026-03-15
My phone battery is almost dead.,english,manual_collection,2026-03-15
The internet connection is very slow today.,english,manual_collection,2026-03-15
Have you seen my charger anywhere?,english,manual_collection,2026-03-15
I need to check my email quickly.,english,manual_collection,2026-03-15
Can you take a photo with my phone?,english,manual_collection,2026-03-15
How much is this shirt?,english,manual_collection,2026-03-15
Do you accept credit cards?,english,manual_collection,2026-03-15
"I'm just looking around, thank you.",english,manual_collection,2026-03-15
That's too expensive for me.,english,manual_collection,2026-03-15
Is there a discount on this item?,english,manual_collection,2026-03-15
I'd like to return this product.,english,manual_collection,2026-03-15
I have a headache. Do you have any medicine?,english,manual_collection,2026-03-15
You should drink plenty of water.,english,manual_collection,2026-03-15
I need to exercise more often.,english,manual_collection,2026-03-15
She went to see a doctor yesterday.,english,manual_collection,2026-03-15
Get well soon! We miss you at work.,english,manual_collection,2026-03-15
I'm learning how to speak English.,english,manual_collection,2026-03-15
She's studying to become a teacher.,english,manual_collection,2026-03-15
The exam was more difficult than I expected.,english,manual_collection,2026-03-15
I need to finish my homework before tomorrow.,english,manual_collection,2026-03-15
He graduated from university last year.,english,manual_collection,2026-03-15
How long does it take to get to Mombasa?,english,manual_collection,2026-03-15
I prefer traveling by train.,english,manual_collection,2026-03-15
The traffic is terrible during rush hour.,english,manual_collection,2026-03-15
We need to book our tickets in advance.,english,manual_collection,2026-03-15
Is this seat taken?,english,manual_collection,2026-03-15
What time is the next bus to town?,english,manual_collection,2026-03-15
It's raining heavily outside.,english,manual_collection,2026-03-15
The sun is shining brightly today.,english,manual_collection,2026-03-15
I think it might snow in the mountains.,english,manual_collection,2026-03-15
The wind is very strong this evening.,english,manual_collection,2026-03-15
What's the weather forecast for tomorrow?,english,manual_collection,2026-03-15
I have two brothers and one sister.,english,manual_collection,2026-03-15
My mother is a teacher at a local school.,english,manual_collection,2026-03-15
We're having a family gathering on Sunday.,english,manual_collection,2026-03-15
She's my best friend from childhood.,english,manual_collection,2026-03-15
Do you have any children?,english,manual_collection,2026-03-15
My father works as a farmer.,english,manual_collection,2026-03-15
What do you do for a living?,english,manual_collection,2026-03-15
I work as a software developer.,english,manual_collection,2026-03-15
She got promoted to manager last month.,english,manual_collection,2026-03-15
I'm looking for a new job opportunity.,english,manual_collection,2026-03-15
The company is hiring new staff.,english,manual_collection,2026-03-15
I enjoy reading books in my free time.,english,manual_collection,2026-03-15
