text,language,source,date_collected
"Niko poa tu, mbona?",sheng,manual_collection,2026-03-15
Vipi msee? Uko aje?,sheng,manual_collection,2026-03-15
"Poa poa, unasemaje?",sheng,manual_collection,2026-03-15
"Niaje, umeshindaje?",sheng,manual_collection,2026-03-15
"Freshi kabisa, wewe?",sheng,manual_collection,2026-03-15
"Sema nduthi, iko aje?",sheng,manual_collection,2026-03-15
"Mboka, habari gani?",sheng,manual_collection,2026-03-15
Manze leo ni heavy.,sheng,manual_collection,2026-03-15
Niko na vibe noma leo.,sheng,manual_collection,2026-03-15
Mambo poa tu mtaani.,sheng,manual_collection,2026-03-15
Wacha tuende base kesho.,sheng,manual_collection,2026-03-15
Nimekula job yangu.,sheng,manual_collection,2026-03-15
Tumesota mtaa hata mbaya.,sheng,manual_collection,2026-03-15
Nimechill tu nyumbani.,sheng,manual_collection,2026-03-15
Twende tupige story kidogo.,sheng,manual_collection,2026-03-15
Tuko na mashibe ya kufanya.,sheng,manual_collection,2026-03-15
Niko na pressure ya kazi.,sheng,manual_collection,2026-03-15
Umechill aje weekend?,sheng,manual_collection,2026-03-15
Nimebonga na dem yangu.,sheng,manual_collection,2026-03-15
Tumesota na maBRRR.,sheng,manual_collection,2026-03-15
Msee huyo ni fresh sana.,sheng,manual_collection,2026-03-15
Manzi yule ni kali.,sheng,manual_collection,2026-03-15
Dem wangu ni poa.,sheng,manual_collection,2026-03-15
MaBRRR zangu ni wengi.,sheng,manual_collection,2026-03-15
Huyo ni bro yangu.,sheng,manual_collection,2026-03-15
Manze ni mdosi wangu.,sheng,manual_collection,2026-03-15
Yule manzi ni moto.,sheng,manual_collection,2026-03-15
Hawa madame ni poa.,sheng,manual_collection,2026-03-15
Wasee wetu ni wengi.,sheng,manual_collection,2026-03-15
Hio ni nduthi yangu.,sheng,manual_collection,2026-03-15
Uko na mbao?,sheng,manual_collection,2026-03-15
Nimebroke hii mwezi.,sheng,manual_collection,2026-03-15
Tafuta doh kidogo.,sheng,manual_collection,2026-03-15
Niko na cash ndogo.,sheng,manual_collection,2026-03-15
Hio bei ni heavy.,sheng,manual_collection,2026-03-15
Twende tushike fare.,sheng,manual_collection,2026-03-15
Nimepata job ya jaba.,sheng,manual_collection,2026-03-15
Doh iko wapi?,sheng,manual_collection,2026-03-15
Nipe mbao kidogo.,sheng,manual_collection,2026-03-15
Tumechania doh leo.,sheng,manual_collection,2026-03-15
Twende tukule ngwaci.,sheng,manual_collection,2026-03-15
Niko na njaa sana.,sheng,manual_collection,2026-03-15
Twende tukule chapo.,sheng,manual_collection,2026-03-15
